WSD_INFORMATION	NUM_SENSES	SENSE	EMERGENCE_YEAR	EMERGENCE_VALUE	ALLSURGES	FIRST_YEAR_OCCURENCE	DifferenceEMER-FIRST
Fe	2	C0376520	1995	0.000000	1995|1996|1998|	1946	49	
Cortical	3	C0001613	1945	0.368421	1945|	1945	0	
NPC	2	C0220756	2005	0.000000	2005|2007|2008|2009|2010|	2006	-1	
DON	2	C0012020	1955	0.000000	1955|	1956	-1	
DON	2	C0028652	1979	0.000000	1979|1980|1981|1982|1984|	1948	31	
PAC	2	C0949780	2010	0.000000	2010|	2001	9	
SARS	2	C1175743	2000	0.000000	2000|2001|2002|	1953	47	
TSF	2	C0021756	1976	0.000000	1976|1977|	1964	12	
Callus	2	C0006767	1947	0.500000	1947|	1947	0	
Orf	2	C0079941	1986	0.062500	1986|1987|	1982	4	
ADP	2	C0004374	1958	0.000000	1958|1961|	1959	-1	
dC	2	C0011485	1957	0.000000	1957|	1958	-1	
lens	3	C0023308	1951	0.000000	1951|1952|1953|	1952	-1	
MCC	2	C0162804	1990	0.000000	1990|1991|1992|	1991	-1	
SS	2	C0085077	1990	0.022222	1990|	1964	26	
WT1	2	C0148873	1991	0.007273	1991|	1991	0	
HHV 8	2	C0376526	1994	0.000000	1994|1995|1996|1997|	1996	-2	
sex factor	2	C0015435	1960	0.000000	1960|	1956	4	
Murine sarcoma virus	2	C0026399	1982	0.000000	1982|1983|1988|	1984	-2	
Medullary	2	C0001629	1945	0.333333	1945|	1945	0	
MAF	2	C0919482	2001	0.000000	2001|2003|	1998	3	
Ice	3	C0534519	1990	0.000000	1990|1991|1992|1993|1994|2005|	1991	-1	
DDD	2	C0026256	1972	0.000000	1972|1973|	1959	13	
Astragalus	2	C0330845	1946	0.000000	1946|	1947	-1	
Lupus	3	C0024138	1945	0.000000	1945|1946|	1946	-1	
Fish	2	C0162789	1990	0.000000	1990|1991|1992|	1953	37	
DDS	3	C0085104	1988	0.000000	1988|1989|1990|1991|	1948	40	
DDS	3	C0950121	1999	0.000000	1999|2000|2001|	2001	-2	
HGF	2	C0021760	1982	0.000000	1982|	1983	-1	
drinking	2	C0684271	1946	0.250000	1946|	1946	0	
JP	2	C0031106	1945	0.333333	1945|	1945	0	
Pleuropneumonia	2	C0026934	1945	0.500000	1945|	1945	0	
NM	2	C0027972	1963	0.047619	1963|1964|1965|1968|	1946	17	
Projection	2	C0033363	1946	0.500000	1946|	1946	0	
NBS	2	C0398791	2003	0.000000	2003|	2002	1	
TPO	2	C0040052	1964	0.000000	1964|	1958	6	
SARS-associated coronavirus	2	C1175743	2000	0.000000	2000|2001|2002|	1953	47	
B-Cell Leukemia	2	C2004493	1991	0.005764	1991|	1988	3	
PR	2	C0034833	1972	0.000000	1972|1973|1974|1975|1976|	1973	-1	
eCG	2	C0018064	1989	0.000000	1989|	1945	44	
MBP	2	C0065661	1999	0.017626	1999|2000|2001|	1984	15	
US	2	C0041618	1971	0.197802	1971|	1945	26	
FTC	2	C0206682	1992	0.000000	1992|1993|1995|	1952	40	
ERP	2	C0008310	1978	0.002304	1978|1979|1980|	1978	0	
Ion	2	C0022024	1945	0.000000	1945|1946|	1946	-1	
Wasp	2	C0258432	1993	0.000000	1993|1994|1995|1996|	1994	-1	
INDO	2	C0021246	1961	0.000000	1961|1962|1963|1964|	1963	-2	
ADH	2	C0003779	1955	0.200000	1955|	1954	1	
Ala	3	C0002563	1954	0.000000	1954|1956|	1953	1	
Ganglion	2	C1258666	2006	0.389313	2006|	1946	60	
Polymyalgia Rheumatica	2	C0032533	1958	0.000000	1958|1959|1960|	1955	3	
BPD	2	C0006287	1980	0.000000	1980|	1981	-1	
Potassium	2	C0162800	1990	0.000265	1990|1991|1999|	1948	42	
SLS	2	C0037231	1959	0.000000	1959|	1960	-1	
CPDD	2	C0008838	1971	0.000000	1971|1974|1975|1976|	1972	-1	
THYMUS	3	C0040112	1948	0.000000	1948|	1949	-1	
Malaria	2	C0206255	1991	0.000680	1991|1992|1993|	1945	46	
Cell	2	C1136359	2010	0.121166	2010|2011|	1999	11	
ORI	2	C0242961	1991	0.000000	1991|1992|	1983	8	
cRNA	2	C0056208	1981	0.000000	1981|1982|1983|	1955	26	
CAD	2	C0011905	1968	0.000000	1968|1969|1975|	1970	-2	
BSE	2	C0085209	1989	0.000000	1989|1990|1991|1992|2000|	1991	-2	
Coffee	2	C0085952	2001	0.000000	2001|	1947	54	
SPR	2	C0597731	1996	0.000000	1996|1997|1998|	1998	-2	
WBS	2	C0175702	1994	0.000000	1994|	1995	-1	
Cortex	2	C0001614	1948	0.000000	1948|1949|	1950	-2	
TAT	3	C0017375	1988	0.000000	1988|	1989	-1	
TAT	3	C0039341	1983	0.000000	1983|1984|1985|1992|	1985	-2	
Glycoside	2	C0017977	1945	0.000000	1945|1946|	1946	-1	
DAT	2	C0114838	1989	0.002322	1989|1990|1991|1992|1993|1994|1995|	1989	0	
Ca	3	C0006754	1945	0.204545	1945|	1945	0	
DBA	2	C0025923	1947	0.500000	1947|	1947	0	
